CODAUTO,Comunidad Autónoma,CPRO,Provincia,Tipo autonomía
1,Andalucía,4,Almería,Comunidad
1,Andalucía,11,Cádiz,Comunidad
1,Andalucía,14,Córdoba,Comunidad
1,Andalucía,18,Granada,Comunidad
1,Andalucía,21,Huelva,Comunidad
1,Andalucía,23,Jaén,Comunidad
1,Andalucía,29,Málaga,Comunidad
1,Andalucía,41,Sevilla,Comunidad
2,Aragón,22,Huesca,Comunidad
2,Aragón,44,Teruel,Comunidad
2,Aragón,50,Zaragoza,Comunidad
3,"Asturias, Principado de",33,Asturias,Comunidad
4,"Balears, Illes",7,"Balears, Illes",Comunidad
5,Canarias,35,"Palmas, Las",Comunidad
5,Canarias,38,Santa Cruz de Tenerife,Comunidad
6,Cantabria,39,Cantabria,Comunidad
7,Castilla y León,5,Ávila,Comunidad
7,Castilla y León,9,Burgos,Comunidad
7,Castilla y León,24,León,Comunidad
7,Castilla y León,34,Palencia,Comunidad
7,Castilla y León,37,Salamanca,Comunidad
7,Castilla y León,40,Segovia,Comunidad
7,Castilla y León,42,Soria,Comunidad
7,Castilla y León,47,Valladolid,Comunidad
7,Castilla y León,49,Zamora,Comunidad
8,Castilla-La Mancha,2,Albacete,Comunidad
8,Castilla-La Mancha,13,Ciudad Real,Comunidad
8,Castilla-La Mancha,16,Cuenca,Comunidad
8,Castilla-La Mancha,19,Guadalajara,Comunidad
8,Castilla-La Mancha,45,Toledo,Comunidad
9,Cataluña,8,Barcelona,Comunidad
9,Cataluña,17,Girona,Comunidad
9,Cataluña,25,Lleida,Comunidad
9,Cataluña,43,Tarragona,Comunidad
10,Comunitat Valenciana,3,Alicante/Alacant,Comunidad
10,Comunitat Valenciana,12,Castellón/Castelló,Comunidad
10,Comunitat Valenciana,46,Valencia/València,Comunidad
11,Extremadura,6,Badajoz,Comunidad
11,Extremadura,10,Cáceres,Comunidad
12,Galicia,15,"Coruña, A",Comunidad
12,Galicia,27,Lugo,Comunidad
12,Galicia,32,Ourense,Comunidad
12,Galicia,36,Pontevedra,Comunidad
13,"Madrid, Comunidad de",28,Madrid,Comunidad
14,"Murcia, Región de",30,Murcia,Comunidad
15,"Navarra, Comunidad Foral de",31,Navarra,Comunidad
16,País Vasco,1,Araba/Álava,Comunidad
16,País Vasco,48,Bizkaia,Comunidad
16,País Vasco,20,Gipuzkoa,Comunidad
17,"Rioja, La",26,"Rioja, La",Comunidad
18,Ceuta,51,Ceuta,Ciudad
19,Melilla,52,Melilla,Ciudad