FID,autonomia,carretera,causa,fechahora_,hacia,matricula,nivel,pk_final,pk_inicial,poblacion,provincia,ref_incide,sentido,tipo,tipolocali,version_in,x,xml_fragme,xml_id,xml_matche,xml_parent,xml_pare_1,y,X1,Y1,actualizad
29,CATALUÑA,L-911,HIELO,2021/01/14 18:43:00,Ambos,L,VERDE,11,0,BENAVENT DE LA CONCA,LLEIDA,OL101138080,Ambos sentidos,METEOROLOGICA,0,2,42.05508,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>BENAVENT DE LA CONCA</poblacion>
<fechahora_ini>2021",id-incidencia-1.29,incidencia, , ,1.08945,1.08945,42.05508,2021/01/19 23:31:00
30,CATALUÑA,LV-5134,HIELO,2021/01/12 18:19:00,Ambos,L,VERDE,28.8,0,NOVES DE SEGRE,LLEIDA,OL101128231,Ambos sentidos,METEOROLOGICA,0,7,42.29316,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>NOVES DE SEGRE</poblacion>
<fechahora_ini>2021-01-12",id-incidencia-1.30,incidencia, , ,1.34492,1.34492,42.29316,2021/01/19 23:31:00
31,CATALUÑA,L-913,HIELO,2021/01/12 18:16:00,Ambos,L,VERDE,8.3,0,VILANOVA DE MEIA,LLEIDA,OL101129225,Ambos sentidos,METEOROLOGICA,0,4,41.99462,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>METEOROLOGICA</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa>HIELO</causa>
<poblacion>VILANOVA DE MEIA</poblacion>
<fechahora_ini>2021-01-",id-incidencia-1.31,incidencia, , ,1.0237,1.0237,41.99462,2021/01/19 23:31:00
125,CATALUÑA,GI-503, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/15 19:07:00, ,GI,NEGRO,25,18,MAÇANET DE CABRENYS,GIRONA,GI101159187,AMBOS SENTIDOS,CONO,0,1,42.3801697,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>MAÇANET DE CABRENYS</poblacio",id-incidencia-1.125,incidencia, , ,2.701933,2.701933,42.3801697,2021/01/19 23:31:00
126,CATALUÑA,GI-503, OTROS,2021/01/15 19:07:00, ,GI,NEGRO,25,18,MAÇANET DE CABRENYS,GIRONA,GI101158193,AMBOS SENTIDOS,CONO,0,1,42.3801697,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> OTROS </causa>
<poblacion>MAÇANET DE CABRENYS</poblacion>
<fechahora_ini>2021-01-15",id-incidencia-1.126,incidencia, , ,2.701933,2.701933,42.3801697,2021/01/19 23:31:00
127,CATALUÑA,GI-505, OTROS,2021/01/15 19:07:00, ,GI,NEGRO,3,0,VAJOL (LA),GIRONA,GI101159186,AMBOS SENTIDOS,CONO,0,2,42.40466,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> OTROS </causa>
<poblacion>VAJOL (LA)</poblacion>
<fechahora_ini>2021-01-15 19:07</fe",id-incidencia-1.127,incidencia, , ,2.80112,2.80112,42.40466,2021/01/19 23:31:00
128,CATALUÑA,GI-505, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/15 19:07:00, ,GI,NEGRO,3,0,VAJOL (LA),GIRONA,GI101158192,AMBOS SENTIDOS,CONO,0,2,42.40466,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>GIRONA</provincia>
<matricula>GI</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>VAJOL (LA)</poblacion>
<fechah",id-incidencia-1.128,incidencia, , ,2.80112,2.80112,42.40466,2021/01/19 23:31:00
133,CATALUÑA,N-141, OTROS,2021/01/08 09:48:00, ,L,NEGRO,8.4,8,BOSSOST,LLEIDA,OL101069034,AMBOS SENTIDOS,CONO,0,3,42.767274,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa> OTROS </causa>
<poblacion>BOSSOST</poblacion>
<fechahora_ini>2021-01-08 09:48</fechah",id-incidencia-1.133,incidencia, , ,0.659323,0.659323,42.767274,2021/01/19 23:31:00
134,CATALUÑA,N-141, CARRETERA CORTADA EN ESTE SENTIDO,2021/01/08 09:48:00, ,L,NEGRO,8.4,8,BOSSOST,LLEIDA,OL101068027,AMBOS SENTIDOS,CONO,0,3,42.767274,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>CONO</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>LLEIDA</provincia>
<matricula>L</matricula>
<causa> CARRETERA CORTADA EN ESTE SENTIDO </causa>
<poblacion>BOSSOST</poblacion>
<fechahora_",id-incidencia-1.134,incidencia, , ,0.659323,0.659323,42.767274,2021/01/19 23:31:00
156,CATALUÑA,C-32,TRABAJOS DE MANTENIMIENTO,2021/01/15 10:18:00,ESPLUGUES DE LLOBREGAT,B,VERDE,63,59,ALMEDA MERCADER,BARCELONA,OB101128060,AMBOS SENTIDOS,OBRAS,0,2,41.3482244,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>ALMEDA MERCADER</poblacion>
<fechahor",id-incidencia-1.156,incidencia, , ,2.0924056,2.0924056,41.3482244,2021/01/19 23:31:00
157,CATALUÑA,C-61,OBRAS EN GENERAL,2021/01/15 14:05:00, ,B,VERDE,6.3,6.1,ARENYS DE MUNT,BARCELONA,OB008098024,AMBOS SENTIDOS,OBRAS,0,21,41.6215652,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>ARENYS DE MUNT</poblacion>
<fechahora_ini>2021",id-incidencia-1.157,incidencia, , ,2.5343305,2.5343305,41.6215652,2021/01/19 23:31:00
158,CATALUÑA,C-31,OBRAS EN GENERAL,2021/01/18 14:37:00,BARCELONA,B,VERDE,210.5,215,BADALONA,BARCELONA,OB101199002,SUR,OBRAS,0,4,41.46146,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>BADALONA</poblacion>
<fechahora_ini>2021-01-18",id-incidencia-1.158,incidencia, , ,2.2629067,2.2629067,41.46146,2021/01/19 23:31:00
159,CATALUÑA,BP-1121,TRABAJOS DE MANTENIMIENTO,2020/12/24 19:16:00, ,B,VERDE,1.2,1.1,BAUMA,BARCELONA,OB010208205,AMBOS SENTIDOS,OBRAS,0,14,41.6271614,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>BAUMA</poblacion>
<fechahora_ini>2020",id-incidencia-1.159,incidencia, , ,1.8676063,1.8676063,41.6271614,2021/01/19 23:31:00
160,CATALUÑA,C-245,TRABAJOS DE MANTENIMIENTO,2020/10/17 09:36:00,TARRAGONA,B,VERDE,1.4,2,CASTELLDEFELS,BARCELONA,OB010109026,SUR,OBRAS,0,2,41.2783231,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CASTELLDEFELS</poblacion>
<fechahora_",id-incidencia-1.160,incidencia, , ,1.9774417,1.9774417,41.2783231,2021/01/19 23:31:00
161,CATALUÑA,C-245,TRABAJOS DE MANTENIMIENTO,2021/01/12 08:13:00, ,B,VERDE,2.4,2,CASTELLDEFELS,BARCELONA,OB101128064,AMBOS SENTIDOS,OBRAS,0,1,41.2783231,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CASTELLDEFELS</poblacion>
<fechahora_",id-incidencia-1.161,incidencia, , ,1.9774417,1.9774417,41.2783231,2021/01/19 23:31:00
162,CATALUÑA,A-2,TRABAJOS DE MANTENIMIENTO,2021/01/19 08:33:00,BARCELONA,B,VERDE,558.2,560,CASTELLOLI,BARCELONA,OB101198072,ESTE,OBRAS,0,1,41.5906165,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>CASTELLOLI</poblacion>
<fechahora_ini",id-incidencia-1.162,incidencia, , ,1.679263,1.679263,41.5906165,2021/01/19 23:31:00
163,CATALUÑA,B-20, ,2019/10/31 18:35:00,TARRAGONA-HORARI: 22 A 6 H,B,NEGRO,3,2.5,CORNELLÀ DE LLOBREGAT,BARCELONA,OB906170137,SUR,OBRAS,0,32,41.34259,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa></causa>
<poblacion>CORNELLÀ DE LLOBREGAT</poblacion>
<fechahora_ini>2019-10-31 1",id-incidencia-1.163,incidencia, , ,2.09063,2.09063,41.34259,2021/01/19 23:31:00
164,CATALUÑA,BV-5101,TRABAJOS DE MANTENIMIENTO,2021/01/11 09:42:00, ,B,VERDE,4.4,0.9,DOSRIUS,BARCELONA,OB101118107,AMBOS SENTIDOS,OBRAS,0,1,41.59681,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>DOSRIUS</poblacion>
<fechahora_ini>20",id-incidencia-1.164,incidencia, , ,2.4378762,2.4378762,41.59681,2021/01/19 23:31:00
165,CATALUÑA,BV-5122,OBRAS EN GENERAL,2020/12/15 08:26:00, ,B,VERDE,6.2,4.2,FOGARS DE LA SELVA,BARCELONA,OB012158133,AMBOS SENTIDOS,OBRAS,0,1,41.7173966,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>FOGARS DE LA SELVA</poblacion>
<fechahora_ini>",id-incidencia-1.165,incidencia, , ,2.678158,2.678158,41.7173966,2021/01/19 23:31:00
166,CATALUÑA,BV-2429,OBRAS EN GENERAL,2020/11/16 10:34:00, ,B,VERDE,21.2,21.1,LAVERN,BARCELONA,OB011169264,AMBOS SENTIDOS,OBRAS,0,1,41.3957615,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>LAVERN</poblacion>
<fechahora_ini>2020-11-16 1",id-incidencia-1.166,incidencia, , ,1.7687295,1.7687295,41.3957615,2021/01/19 23:31:00
167,CATALUÑA,C-17,TRABAJOS DE MANTENIMIENTO,2021/01/19 22:32:00,VIC,B,VERDE,20,17,LLEVANT INDUSTRIAL (POLIGON),BARCELONA,OB101199231,NORTE,OBRAS,0,2,41.5796875,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>LLEVANT INDUSTRIAL (POLIGON)</poblaci",id-incidencia-1.167,incidencia, , ,2.2527505,2.2527505,41.5796875,2021/01/19 23:31:00
168,CATALUÑA,C-243C,TRABAJOS DE MANTENIMIENTO,2020/11/06 09:19:00,TERRASSA,B,VERDE,12.8,0,MARTORELL,BARCELONA,OB911069284,AMBOS SENTIDOS,OBRAS,0,8,41.47247,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>MARTORELL</poblacion>
<fechahora_ini>",id-incidencia-1.168,incidencia, , ,1.93853,1.93853,41.47247,2021/01/19 23:31:00
169,CATALUÑA,AP-7,OBRAS EN GENERAL,2021/01/19 22:07:00,GIRONA,B,VERDE,170.5,171.5,MARTORELL,BARCELONA,OB101199227,NORTE,OBRAS,0,1,41.46434,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>MARTORELL</poblacion>
<fechahora_ini>2021-01-1",id-incidencia-1.169,incidencia, , ,1.91052,1.91052,41.46434,2021/01/19 23:31:00
170,CATALUÑA,C-17Z,TRABAJOS DE MANTENIMIENTO,2021/01/15 14:04:00, ,B,NEGRO,85,84.7,MONTESQUIU,BARCELONA,OB001279259,AMBOS SENTIDOS,OBRAS,0,25,42.1223118,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>MONTESQUIU</poblacion>
<fechahora_ini",id-incidencia-1.170,incidencia, , ,2.2041772,2.2041772,42.1223118,2021/01/19 23:31:00
171,CATALUÑA,C-17,TRABAJOS DE MANTENIMIENTO,2021/01/11 13:07:00,CANOVELLES,B,VERDE,18.7,14.7,POLIGON INDUSTRIAL Z,BARCELONA,OB101118173,AMBOS SENTIDOS,OBRAS,0,1,41.55957,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>POLIGON INDUSTRIAL Z</poblacion>
<fec",id-incidencia-1.171,incidencia, , ,2.23948,2.23948,41.55957,2021/01/19 23:31:00
172,CATALUÑA,B-431,OBRAS EN GENERAL,2021/01/18 13:32:00, ,B,VERDE,72.5,70,PRATS DE LLUÇANES,BARCELONA,OB101188192,AMBOS SENTIDOS,OBRAS,0,1,41.9889531,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>PRATS DE LLUÇANES</poblacion>
<fechahora_ini>",id-incidencia-1.172,incidencia, , ,2.0248387,2.0248387,41.9889531,2021/01/19 23:31:00
173,CATALUÑA,B-400,OBRAS EN GENERAL,2019/11/01 18:43:00, ,B,VERDE,17.5,17,SALDES,BARCELONA,OB901070068,AMBOS SENTIDOS,OBRAS,0,22,42.2228062,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>SALDES</poblacion>
<fechahora_ini>2019-11-01 1",id-incidencia-1.173,incidencia, , ,1.7259923,1.7259923,42.2228062,2021/01/19 23:31:00
174,CATALUÑA,B-430,TRABAJOS DE MANTENIMIENTO,2020/08/29 16:47:00, ,B,NEGRO,1,0,SALLENT,BARCELONA,OB006099276,AMBOS SENTIDOS,OBRAS,0,3,41.80514,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>SALLENT</poblacion>
<fechahora_ini>20",id-incidencia-1.174,incidencia, , ,1.89831,1.89831,41.80514,2021/01/19 23:31:00
175,CATALUÑA,BV-2002,TRABAJOS DE MANTENIMIENTO,2021/01/11 09:41:00, ,B,VERDE,7,6.5,SANT BOI DE LLOBREGAT,BARCELONA,OB005239023,AMBOS SENTIDOS,OBRAS,0,12,41.3508689,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>SANT BOI DE LLOBREGAT</poblacion>
<fe",id-incidencia-1.175,incidencia, , ,2.039605,2.039605,41.3508689,2021/01/19 23:31:00
176,CATALUÑA,A-2,OBRAS EN GENERAL,2021/01/19 22:17:00, ,B,VERDE,608.9,605.7,SANT FELIU DE LLOBREGAT,BARCELONA,OB101198214,AMBOS SENTIDOS,OBRAS,0,1,41.37054,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>OBRAS EN GENERAL</causa>
<poblacion>SANT FELIU DE LLOBREGAT</poblacion>
<fechahora",id-incidencia-1.176,incidencia, , ,2.03995,2.03995,41.37054,2021/01/19 23:31:00
177,CATALUÑA,A-2,TRABAJOS DE MANTENIMIENTO,2021/01/14 19:28:00, ,B,VERDE,609,606.5,SANT FELIU DE LLOBREGAT,BARCELONA,OB011229036,AMBOS SENTIDOS,OBRAS,0,6,41.3561929,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>TRABAJOS DE MANTENIMIENTO</causa>
<poblacion>SANT FELIU DE LLOBREGAT</poblacion>
<",id-incidencia-1.177,incidencia, , ,2.052245,2.052245,41.3561929,2021/01/19 23:31:00
178,CATALUÑA,BV-4511,SEÑALIZACION DE LA CALZADA,2021/01/18 13:47:00, ,B,VERDE,10.2,0,SANT JOAN DE VILATORRADA,BARCELONA,OB101189197,AMBOS SENTIDOS,OBRAS,0,1,41.76982,"﻿<?xml version=""1.0"" encoding=""UTF-16""?><incidencia>
<tipo>OBRAS</tipo>
<autonomia>CATALUÑA</autonomia>
<provincia>BARCELONA</provincia>
<matricula>B</matricula>
<causa>SEÑALIZACION DE LA CALZADA</causa>
<poblacion>SANT JOAN DE VILATORRADA</poblacion",id-incidencia-1.178,incidencia, , ,1.90327,1.90327,41.76982,2021/01/19 23:31:00
